Url,Snippet,Author,Date,Sentiment,Impact,Professions
http://twitter.com/EADT24/statuses/1400702902432264192,Village's burst main pipe repaired in early hours after road floods https://t.co/N5xfSmULxC,EADT24,2021-06-04 06:36:10,negative,46.9,
http://twitter.com/CambridgeWWTPR/statuses/1496818657858576386,Anglian Water has launched its phase three consultation inviting views and feedback on our detailed design for the new Cambridge waste water treatment facility and our preliminary environmental information and proposed mitigation measures https://t.co/qiAx6iGrX1,CambridgeWWTPR,2022-02-24 12:05:52,neutral,30.1,
http://twitter.com/AnglianWater/statuses/1462788853354446860,"@xsammypriorx Hello Sam, I do apologise that the fences are impacting you getting off the drive. Please may I take you your neighbours address and I can take a look on when we are coming out. Many thanks, Jasmin",AnglianWater,2021-11-22 14:23:34,positive,42.1,
http://twitter.com/bucksbuses/statuses/1455820631640092675,"Anglian Water will be back on Granborough Road, North Marston at 10am today to finish off a repair. Bus route 60 will be unable to serve stops in Oving, North Marston and Granborough for a few hours while this is completed @red_rose_travel",bucksbuses,2021-11-03 08:54:21,neutral,0.0,
http://twitter.com/iamlawson/statuses/1457278254650478594,"@JDjanogly I ask you, as my MP, to prevent @AnglianWater from dumping sewage in the waterways in our constituency. You have a second chance to show that you care for our environment and your constituents, please do the right thing. @Feargal_Sharkey",iamlawson,2021-11-07 09:26:25,neutral,41.3,
http://twitter.com/Cambs_Traffic/statuses/1415587611557646337,⚠️🚦 #A603 East Road in both directions #Cambridge; DELAYS due to temporary traffic lights in place for works by @AnglianWater. Please allow extra time for your journey. More info: https://t.co/FTWYTbMoHk https://t.co/Ov1j52AzF5,Cambs_Traffic,2021-07-15 08:22:41,neutral,36.9,
http://twitter.com/greenbutts/statuses/1446086013982580742,"Everyone likes a bit of Music. UK Land of Excrement Music, that is. @SouthernWater @WaterUK @YWHelp @IWA_UK @scottish_water @YorkshireWater @AnglianWater @BBCJustinR @BBCRadio4 @BBCTech @WindrushWasp @SurreyWaste @charlottechurch @GreenJennyJones @RuthNewportWest @pow_rebecca",greenbutts,2021-10-07 12:12:27,neutral,0.0,
http://twitter.com/Koralin88139803/statuses/1403981709369085963,@AnglianWater Just sent DM thanks,Koralin88139803,2021-06-13 07:44:58,neutral,0.0,
http://twitter.com/greenarteries/statuses/1475781138090278912,@VenetiaSB @LLocock @gallimaufrey777 @herdyshepherd1 Gter Cambs employment led growth agenda is focused on unlocking Camb green belt for develop mitigated by wild belt & “fringe farming”. Serial polluter Anglian Water chair policy at Camb Ahead. They also manage CamEo catchment & lead on regional water plan https://t.co/2CjSy3yLVi,greenarteries,2021-12-28 10:50:16,neutral,25.0,
http://twitter.com/Matt_Watson75/statuses/1455576414791548929,@AnglianWater It would be nice if you could notify us when your sending contractors to do works in our village & cut off our water supply !! Our water has been intermittent all afternoon. No notification made!!???,Matt_Watson75,2021-11-02 16:43:55,neutral,9.9,"Artist (Composer), Artist (Songwriter), Artist (Musician)"
http://twitter.com/OxgardenZ/statuses/1454422933758165001,"@Feargal_Sharkey @AnglianWater @BBCNews While we’re waiting for that £660bn breakdown I notice: “Between 2020 and 2025, water companies will invest £7.1bn on environmental improvements in England, including £3.1 billion on storm overflow improvements alone.” (Problem fixed in ~100years time?) https://t.co/VkEH2b165L",OxgardenZ,2021-10-30 12:20:23,neutral,9.1,
http://twitter.com/EngagingSafety/statuses/1434058072410972167,"EUSR SHEA Password Water & NWH Blue Card, trainer led e-classroom delivery at competitive rates check out our calendar for availability https://t.co/7tGOucgD1G @unitedutilities @JNWmedia @YorkshireWater @nwater_care @stwater @AnglianWater @SouthernWater @thameswater @DwrCymru https://t.co/JySoCyYiiL",EngagingSafety,2021-09-04 07:37:42,neutral,0.0,
http://twitter.com/SarahB59/statuses/1403982307837497345,It’s SUNday! @RutlandWaterNR @LeicsWildlife @AnglianWater https://t.co/9vOi1CtKpS,SarahB59,2021-06-13 07:47:21,neutral,29.7,
http://twitter.com/AnglianWater/statuses/1458505385749491712,"@swanny_1982 Hi Martyn, I can certainly take a look into this for you. Can you please PM me your address with postcode so I can pull your account up? Thanks, Aaron",AnglianWater,2021-11-10 18:42:36,neutral,43.2,
http://twitter.com/alcedowildlife/statuses/1395296693768294406,@global_birding @Rutlandbirds @PapayRanger @WetlandLink @WeBS_UK @worldwetnet @TheWCS @WetlandsEurope @WetlandsInt @RamsarConv @DiscoverRutland @AnglianWater @RutlandWaterNR @SeabirdCentre @CambsBirdClub @_BTO @BirdWatchingMag @Nunny_Birds @BirdWatchIE @kartongbirdobs @DrLaraHowe @GoughIsland @InstaBirders @naturetrektours @britishbirds...,alcedowildlife,2021-05-20 08:33:49,neutral,19.9,Artist (Photographer)
http://twitter.com/pvp58/statuses/1454482388013158408,@Feargal_Sharkey @AnglianWater @BBCNews The whole agenda set when the Water was sold off was they could raise money to repair the system. Someone lied to us what a surprise.,pvp58,2021-10-30 16:16:38,negative,0.0,
http://twitter.com/EdwardT11852144/statuses/1480894165466562561,@AnglianWater @RutWaterPark @BBCTwo @LeicsWildlife Can anyone explain how it’s not a dinosaur? Is it just not from the right time period of the dinos?,EdwardT11852144,2022-01-11 13:27:37,neutral,8.4,
http://twitter.com/Brandsthatcrea1/statuses/1382049732474896389,"@EelGroup @DefraGovUK @EnvAgency @EU_ENV @EU_MARE @CITES @severnrivers This is what Anglian Water, do to recovering Eel habitats https://t.co/W8NLkaoWeT",Brandsthatcrea1,2021-04-13 19:15:08,neutral,0.0,
http://twitter.com/AnglianWater/statuses/1443307236533706762,@sszmidt199 I completely understand your conern. We have said this to the proactive messaging team a few times and they are looking into making sure that all messages from us do actually look like they come from us! Thanks for getting in touch Stephen. Have a lovely evening!,AnglianWater,2021-09-29 20:10:35,positive,43.2,
http://twitter.com/AnglianWater/statuses/1423250532479688706,"@pratab_a Hi Pratab ,we're really sorry, that's definitely not our intention with the meters and we can ensure to switch off that feature for you if you Pm your address. Many Thanks - Zack",AnglianWater,2021-08-05 11:52:24,negative,43.2,
http://twitter.com/MrIchthyosaurus/statuses/1480994758948532224,@Becky85231741 @Dean_R_Lomax @MarkoPalaeo @Dr_EmmaNicholls @EmilyJSwaby @PauldelaSalle @ThinkSee3D @pborogeopaleo @AnglianWater @RutlandWaterNR @LeicsWildlife Not an ancestor but distantly related to the ancestors of crocodiles. They share the same very distant origins.,MrIchthyosaurus,2022-01-11 20:07:20,neutral,4.8,Scientist & Researcher (Researcher)
